nombre_pokemon,velocidad,fuerza,elemento,peso,altura
Vaporeon,40,110,aire,236.87,81.33
Poliwrath,65,17,agua,162.93,21.6
Vileplume,54,139,tierra,33.39,115.07
Magmar,21,108,fuego,272.44,293.67
Dewgong,71,108,aire,84.19,185.37
Ditto,63,98,fuego,5.85,16.18
Charizard,14,88,agua,91.73,237.54
Eevee,43,133,aire,75.25,257.67
Gengar,70,58,agua,98.18,108.24
Flareon,75,129,fuego,284.53,8.85
Clefable,83,41,aire,257.7,149.27
Scyther,20,75,fuego,92.66,269.73
Omastar,29,131,tierra,252.58,35.07
Bulbasaur,37,29,tierra,230.77,239.39
Hitmonlee,67,62,aire,210.25,134.1
Pikachu,82,148,aire,95.63,209.22
Articuno,52,106,electricidad,70.5,110.54
Dragonite,57,132,agua,105.87,108.55
Magneton,37,187,tierra,256.27,36.02
Magneton,57,38,fuego,230.47,194.7
Golem,41,26,tierra,236.8,139.37
Mew,73,40,fuego,72.78,230.84
Arcanine,30,11,electricidad,233.64,47.67
Hitmonlee,74,178,fuego,207.7,148.93
Vileplume,60,45,agua,106.23,26.05
Flareon,40,14,agua,260.85,187.41
Vileplume,15,88,fuego,25.85,139.82
Omastar,36,36,aire,249.84,100.55
Mewtwo,76,25,electricidad,67.55,164.69
Vaporeon,75,74,aire,31.34,239.87
Omanyte,77,137,electricidad,80.18,129.18
Pikachu,39,77,fuego,218.46,148.66
Cloyster,15,72,fuego,129.95,118.86
Starmie,85,58,agua,215.69,114.94
Zapdos,18,159,fuego,189.91,253.22
Jigglypuff,20,65,tierra,210.63,95.71
Pikachu,23,181,agua,275.4,257.94
Flareon,33,194,aire,189.95,72.54
Lapras,16,71,tierra,95.65,55.11
Charizard,70,154,tierra,178.79,149.18
Snorlax,50,65,aire,19.86,33.19
Chansey,43,188,electricidad,94.12,188.28
Dragonite,20,96,agua,27.73,27.57
Muk,36,171,tierra,106.25,286.94
Ditto,91,63,electricidad,164.32,95.11
Kingler,76,147,tierra,1.0,197.09
Vileplume,23,119,aire,3.83,91.54
Lapras,80,39,tierra,67.69,9.92
Seaking,7,122,tierra,169.3,10.2
Kabuto,26,165,tierra,13.54,149.66
Marowak,72,94,agua,115.8,11.26
Aerodactyl,11,164,agua,67.49,65.75
Tangela,87,180,fuego,137.12,56.02
Muk,18,143,electricidad,74.67,246.52
Rapidash,55,141,aire,5.18,246.92
Marowak,69,182,agua,45.18,77.77
Venusaur,67,132,aire,142.74,127.59
Cloyster,67,80,fuego,250.89,64.4
Gengar,79,65,tierra,127.95,217.97
Hitmonlee,14,158,tierra,163.75,102.34
Scyther,90,19,tierra,182.42,125.78
Victreebel,73,147,agua,232.81,207.45
Zapdos,59,197,aire,59.6,283.67
Seaking,49,66,aire,135.23,190.46
Poliwrath,26,138,agua,259.35,262.66
Lapras,34,109,electricidad,160.28,41.64
Arcanine,36,67,tierra,161.66,270.11
Dodrio,87,157,agua,254.44,210.97
Dragonite,59,36,aire,41.06,267.35
Dragonite,7,180,agua,97.13,164.53
Snorlax,3,81,agua,41.94,157.31
Marowak,24,117,electricidad,233.97,66.22
Dratini,21,34,agua,281.91,42.58
Mewtwo,89,25,electricidad,119.83,3.31
Articuno,35,109,fuego,54.64,142.19
Mewtwo,68,35,tierra,14.74,156.66
Vaporeon,6,3,fuego,131.83,263.87
Ditto,56,82,aire,182.77,64.05
Dragonair,5,14,fuego,159.95,34.76
Jolteon,70,4,electricidad,30.32,86.89
Gengar,67,99,tierra,265.45,219.22
Raichu,14,123,fuego,52.88,73.16
Magneton,18,49,tierra,43.77,213.66
Hitmonlee,36,12,fuego,189.91,137.53
Kabutops,86,68,agua,213.6,156.66
Mew,5,59,tierra,69.19,243.0
Electabuzz,90,77,aire,243.12,13.37
Magmar,7,149,aire,216.02,188.71
Tentacruel,16,140,electricidad,30.14,269.3
Exeggutor,63,5,fuego,135.36,166.89
Flareon,56,130,electricidad,193.14,22.26
Lapras,96,82,tierra,116.63,281.67
Venusaur,88,15,fuego,38.07,118.65
Jigglypuff,43,188,electricidad,26.99,244.25
Alakazam,49,132,aire,227.48,76.22
Squirtle,92,69,aire,144.46,248.6
Moltres,48,63,agua,247.67,251.65
Pikachu,43,193,fuego,90.37,95.35
Ninetales,21,36,agua,119.14,101.08
Wigglytuff,41,118,tierra,69.12,24.75
Charmander,11,99,aire,237.1,105.46
Dratini,40,135,electricidad,254.3,237.63
Lickitung,8,104,fuego,115.16,115.39
Starmie,2,96,fuego,97.28,251.55
Dewgong,39,10,agua,1.33,155.31
Kabutops,71,42,tierra,41.53,88.99
Pinsir,22,123,aire,4.51,250.89
Starmie,46,142,electricidad,265.25,8.36
Dragonite,41,53,electricidad,108.49,253.8
Vaporeon,89,151,fuego,98.98,271.0
Magneton,1,33,electricidad,216.57,293.6
Omastar,93,165,aire,13.62,237.18
Machamp,48,131,fuego,279.04,5.02
Rhydon,54,185,agua,269.23,96.4
Charmander,10,192,tierra,97.2,27.14
Moltres,12,60,fuego,134.29,109.38
Omanyte,81,96,fuego,230.24,254.88
Flareon,4,148,fuego,72.31,178.77
Exeggutor,83,41,tierra,273.84,84.7
Dewgong,70,145,fuego,294.72,136.82
Rhydon,1,73,electricidad,38.98,226.67
Nidoqueen,6,51,electricidad,270.91,83.28
Slowbro,66,189,agua,88.26,158.71
Clefable,47,125,agua,103.58,203.87
Alakazam,8,170,aire,199.1,220.0
Muk,68,96,aire,294.75,12.34
Golem,65,154,electricidad,175.03,19.34
Vaporeon,17,158,electricidad,136.92,293.69
Lickitung,86,87,fuego,3.45,194.05
Lickitung,48,37,agua,250.18,189.34
Moltres,28,174,fuego,29.03,207.41
Tauros,97,68,agua,211.21,226.3
Porygon,93,136,fuego,58.33,35.67
Electrode,14,56,tierra,54.36,283.22
Mewtwo,21,172,aire,5.13,297.89
Articuno,71,157,fuego,295.74,55.82
Magneton,98,133,electricidad,130.03,220.39
Dragonite,87,159,aire,133.11,26.14
Gengar,85,46,fuego,136.9,289.9
Slowbro,24,97,tierra,86.3,89.54
Venusaur,71,130,fuego,234.54,132.75
Dragonite,43,6,fuego,253.82,201.42
Cloyster,25,166,tierra,147.82,84.23
Snorlax,44,160,fuego,245.33,112.76
Dragonite,91,32,agua,285.79,199.51
Mew,94,135,aire,242.09,209.06
Exeggutor,42,197,fuego,296.5,91.63
Clefable,3,118,fuego,256.26,11.46
Mewtwo,29,125,tierra,164.41,257.2
Vileplume,90,25,aire,286.64,246.68
Electrode,69,118,tierra,248.16,15.86
Gengar,67,14,fuego,86.03,20.5
Mew,62,12,agua,297.39,158.77
Blastoise,59,170,electricidad,89.47,167.6
Electabuzz,38,140,agua,137.75,22.76
Flareon,88,161,tierra,159.88,212.37
Tauros,54,136,fuego,282.87,228.39
Electrode,37,86,aire,243.79,18.79
Ditto,49,106,agua,158.2,249.28
Vaporeon,100,178,agua,203.83,183.3
Ninetales,36,28,tierra,193.04,112.75
Tauros,89,106,agua,279.69,205.54
Kangaskhan,92,113,aire,229.31,179.04
Clefable,90,114,tierra,136.19,78.63
Nidoking,99,43,aire,93.23,15.89
Kabuto,43,96,fuego,92.96,254.97
Venusaur,69,126,agua,130.67,225.84
Moltres,7,101,tierra,263.53,134.03
Rhydon,94,14,tierra,115.19,116.2
Magneton,63,189,agua,55.69,273.75
Ditto,22,81,aire,129.02,87.57
Kabutops,55,119,agua,234.98,99.83
Lapras,62,151,tierra,81.36,58.77
Kabutops,57,77,aire,186.96,206.06
Ditto,41,6,electricidad,248.05,51.96
Hitmonlee,38,134,tierra,33.23,166.71
Ninetales,16,172,agua,74.47,162.28
Pinsir,88,132,fuego,286.43,62.11
Jigglypuff,76,173,tierra,104.07,194.47
Kabutops,78,93,aire,211.2,187.97
Starmie,35,118,fuego,224.75,267.64
Electabuzz,95,167,agua,171.9,273.31
Moltres,18,86,aire,9.37,207.89
Tentacruel,22,61,fuego,79.26,142.62
Magmar,18,64,agua,149.13,28.42
Mewtwo,6,104,agua,146.0,66.07
Vaporeon,36,28,electricidad,123.51,240.69
Seadra,49,99,aire,48.62,119.16
Zapdos,36,72,tierra,287.52,71.13
Farfetch'd,74,156,tierra,44.11,215.04
Charizard,33,187,fuego,272.64,207.05
Hitmonlee,16,189,fuego,153.07,212.55
Nidoking,43,66,aire,60.5,64.52
Seadra,79,28,tierra,190.22,71.77
Ditto,42,184,agua,269.78,35.5
Hitmonlee,38,89,electricidad,170.79,120.52
Hitmonlee,73,92,agua,96.91,228.35
Arcanine,45,99,agua,2.72,96.58
Clefable,53,151,tierra,116.43,179.45
Gyarados,83,147,aire,280.72,103.5
Snorlax,84,45,tierra,224.11,103.59
Exeggutor,11,73,tierra,177.52,13.26
Aerodactyl,9,9,agua,285.39,61.63
Exeggutor,12,150,agua,51.88,192.37
Poliwrath,56,126,aire,160.95,244.22
Ninetales,14,85,tierra,139.83,233.29
Slowbro,58,120,agua,144.95,221.84
Alakazam,47,34,fuego,205.38,210.37
Tentacruel,92,118,tierra,94.01,131.09
Rapidash,12,122,tierra,37.58,122.9
Nidoqueen,77,177,fuego,24.26,107.95
Magmar,82,7,fuego,204.02,146.14
Dratini,87,94,fuego,5.69,50.9
Aerodactyl,88,169,electricidad,228.64,126.39
Exeggutor,60,81,agua,148.99,197.8
Wigglytuff,59,114,tierra,127.62,263.36
Dodrio,91,130,tierra,155.89,38.72
Kangaskhan,20,103,aire,95.07,12.0
Hypno,16,73,aire,182.69,121.95
Kangaskhan,55,63,electricidad,22.14,118.64
Chansey,12,189,agua,125.27,271.22
Mewtwo,19,168,fuego,9.95,262.11
Charizard,48,81,electricidad,248.58,196.39
Eevee,74,183,agua,99.9,284.41
Lapras,69,21,tierra,255.44,250.61
Jigglypuff,4,122,aire,24.9,86.21
Snorlax,61,116,electricidad,220.29,135.03
Farfetch'd,80,200,aire,163.51,81.2
Marowak,75,178,agua,185.42,98.46
Zapdos,63,148,electricidad,276.06,229.87
Vaporeon,39,154,electricidad,184.13,285.36
Ditto,54,62,electricidad,135.18,111.61
Starmie,43,53,electricidad,167.21,162.02
Muk,83,70,electricidad,43.71,182.94
Kingler,42,185,electricidad,233.28,27.46
Vaporeon,62,131,electricidad,109.31,105.35
Nidoqueen,36,130,tierra,108.9,281.96
Nidoqueen,42,4,electricidad,50.38,123.73
Mewtwo,93,181,tierra,57.15,281.98
Rhydon,64,129,fuego,119.93,249.62
Chansey,45,99,tierra,114.19,2.07
Hitmonlee,74,162,fuego,159.93,256.29
Vileplume,74,93,fuego,218.22,175.06
Rapidash,51,145,electricidad,185.3,161.43
Magmar,64,61,fuego,75.39,50.83
Articuno,24,113,electricidad,109.45,201.77
Moltres,99,16,aire,284.74,95.57
Omanyte,96,116,fuego,124.17,84.12
Mr. Mime,60,148,aire,17.48,7.99
Moltres,27,149,fuego,78.84,270.33
Muk,97,47,aire,170.76,73.67
Kangaskhan,24,107,agua,113.69,236.4
Magneton,55,6,fuego,227.44,250.5
Snorlax,54,95,electricidad,235.14,212.05
Cloyster,35,64,fuego,151.13,102.6
Gengar,7,54,agua,224.14,184.94
Lapras,44,20,aire,286.76,148.45
Rhydon,13,66,aire,299.61,265.52
Magmar,68,107,fuego,48.77,286.66
Seaking,91,32,aire,287.73,128.0
Poliwrath,74,160,aire,18.85,55.41
Mr. Mime,22,154,agua,122.96,255.77
Tentacruel,47,118,agua,44.32,136.03
Kabuto,51,5,agua,129.02,241.3
Vileplume,8,123,electricidad,129.15,183.24
Chansey,71,124,tierra,8.42,205.34
Gengar,25,14,fuego,151.91,278.63
Rhydon,4,100,fuego,134.04,285.17
Dragonite,56,179,electricidad,15.36,67.07
Pikachu,34,191,fuego,112.82,21.05
Seaking,22,167,agua,213.26,130.0
Aerodactyl,100,22,aire,128.82,155.74
Dragonite,12,36,agua,122.14,72.23
Vaporeon,49,60,tierra,256.01,73.1
Mew,11,186,aire,228.31,11.09
Gyarados,91,3,fuego,216.0,222.35
Jynx,97,40,agua,166.07,140.58
Lickitung,20,35,tierra,11.96,91.86
Lapras,23,59,tierra,92.95,292.57
Golem,19,197,electricidad,36.74,97.13
Venusaur,48,130,tierra,152.53,134.31
Dratini,97,160,aire,243.93,266.1
Scyther,45,91,aire,238.28,59.75
Nidoking,48,198,tierra,282.31,65.44
Kabuto,83,170,electricidad,265.85,169.07
Lickitung,99,117,tierra,51.98,98.37
Tentacruel,54,5,tierra,295.14,40.77
Magneton,25,139,aire,108.78,282.89
Muk,74,154,tierra,40.39,277.5
Electrode,58,83,agua,58.88,134.64
Golem,24,138,agua,78.15,70.5
Mr. Mime,37,9,electricidad,55.46,229.59
Squirtle,29,101,fuego,173.02,192.68
Hitmonlee,8,130,electricidad,246.22,227.73
Ditto,35,136,electricidad,140.03,277.93
Gyarados,87,172,electricidad,185.06,60.08
Seaking,41,79,tierra,118.51,230.24
Lickitung,63,57,electricidad,62.94,82.34
Ninetales,24,196,aire,98.35,262.21
Snorlax,99,162,fuego,248.87,273.33
Vaporeon,62,102,tierra,168.5,107.42
Seadra,53,154,aire,240.72,292.28
Vileplume,10,195,agua,24.01,266.52
Electrode,100,23,electricidad,133.63,130.24
Magmar,64,84,fuego,255.24,49.1
Nidoking,6,200,electricidad,299.98,28.09
Nidoqueen,44,121,electricidad,251.23,298.17
Starmie,42,102,electricidad,100.92,226.65
Kabuto,98,184,fuego,176.61,200.65
Magmar,49,23,fuego,155.85,195.87
Hitmonlee,92,139,electricidad,117.67,150.38
Nidoqueen,43,13,aire,79.44,67.05
Magmar,45,35,aire,44.13,108.94
Hypno,21,26,tierra,120.88,264.39
Hypno,49,52,electricidad,216.38,19.54
Hypno,9,181,electricidad,106.78,267.67
Golem,38,13,agua,42.99,25.93
Tentacruel,8,52,fuego,74.78,56.87
Mewtwo,78,187,agua,105.33,288.97
Mew,76,55,aire,123.68,100.97
Dewgong,73,168,aire,226.97,146.16
Electrode,99,85,aire,207.65,70.73
Blastoise,89,53,tierra,45.17,82.81
Mew,62,39,aire,8.17,101.91
Venusaur,3,131,agua,74.97,117.87
Kabuto,21,39,electricidad,180.32,287.67
Gyarados,80,70,tierra,73.5,153.0
Bulbasaur,67,196,agua,17.08,277.5
Golem,31,13,electricidad,65.6,238.84
Blastoise,82,15,tierra,92.45,130.93
Omastar,43,161,tierra,221.1,69.47
Chansey,63,176,tierra,225.55,75.08
Golem,55,72,tierra,282.71,12.87
Dodrio,43,116,tierra,187.76,88.13
Gengar,15,87,aire,112.74,297.78
Arcanine,17,149,tierra,189.75,24.58
Exeggutor,10,165,fuego,9.69,20.1
Charmander,78,9,electricidad,207.16,53.61
Wigglytuff,95,173,electricidad,273.08,107.69
Articuno,25,19,fuego,75.96,53.49
Vaporeon,6,85,tierra,207.58,101.09
Mew,48,14,aire,50.65,267.56
Flareon,40,27,fuego,144.08,270.65
Kabutops,50,193,agua,256.6,207.29
Arcanine,1,65,agua,41.09,74.71
Gengar,38,140,agua,53.57,205.86
Starmie,21,80,fuego,1.41,25.44
Rhydon,8,41,agua,282.61,286.33
Starmie,90,87,aire,17.48,88.72
Gyarados,62,140,agua,187.09,206.95
Aerodactyl,23,136,aire,143.77,150.34
Electabuzz,39,189,tierra,210.67,129.06
Bulbasaur,72,196,fuego,211.69,89.81
Blastoise,60,30,electricidad,115.2,118.36
Rapidash,11,146,tierra,145.27,76.0
Dewgong,8,1,fuego,210.35,291.56
Golem,56,58,agua,171.2,100.36
Magneton,72,17,electricidad,205.89,47.64
Hitmonlee,48,38,agua,101.71,204.55
Aerodactyl,63,47,agua,275.54,130.65
Flareon,80,47,aire,202.7,276.58
Charizard,5,131,fuego,119.99,66.77
Starmie,56,112,electricidad,115.47,200.92
Magneton,26,134,agua,30.07,15.99
Dragonair,29,191,fuego,14.36,106.79
Farfetch'd,42,43,electricidad,216.16,247.84
Kabutops,42,152,electricidad,143.58,157.95
Eevee,27,191,tierra,115.44,163.45
Hitmonlee,33,44,fuego,110.76,211.04
Wigglytuff,35,169,electricidad,56.52,18.65
Porygon,20,114,agua,81.69,38.8
Dragonite,34,43,agua,180.25,232.15
Charmander,35,71,electricidad,226.0,196.3
Clefable,97,18,tierra,232.25,62.32
Zapdos,79,156,fuego,113.9,99.33
Slowbro,13,14,aire,138.8,266.58
Alakazam,74,65,tierra,131.95,221.42
Nidoking,70,94,aire,48.62,121.23
Muk,70,32,agua,205.41,62.32
Tauros,58,2,electricidad,142.82,243.47
Hitmonchan,2,27,tierra,126.37,74.28
Nidoking,58,139,electricidad,208.97,182.44
Dewgong,23,30,fuego,242.92,47.29
Vaporeon,53,185,tierra,286.8,110.42
Gyarados,3,42,electricidad,213.12,278.91
Mewtwo,63,81,tierra,92.41,29.73
Magmar,43,194,electricidad,16.72,171.33
Alakazam,61,84,fuego,8.72,76.45
Vaporeon,80,145,agua,101.64,236.91
Seaking,8,188,fuego,123.08,264.66
Charmander,73,12,agua,126.92,222.97
Electabuzz,52,27,fuego,159.37,254.03
Rhydon,43,22,fuego,269.27,98.44
Hitmonchan,14,137,aire,163.6,240.95
Jynx,23,125,tierra,274.81,126.46
Snorlax,5,191,electricidad,230.44,183.07
Snorlax,89,14,aire,141.11,243.65
Nidoqueen,85,15,tierra,167.59,65.36
Squirtle,46,112,aire,125.76,72.68
Tauros,59,109,electricidad,252.84,168.43
Pinsir,81,190,agua,91.97,69.18
Magneton,6,168,aire,168.63,54.1
Squirtle,87,11,electricidad,272.58,250.23
Mewtwo,79,16,agua,237.96,231.16
Dratini,79,56,aire,60.87,90.04
Blastoise,53,86,aire,43.12,42.62
Rhydon,17,177,aire,53.55,282.67
Arcanine,35,193,tierra,99.94,278.31
Gyarados,41,164,agua,88.88,61.12
Gyarados,22,193,tierra,25.79,175.69
Aerodactyl,27,31,fuego,276.02,290.73
Flareon,55,28,fuego,60.48,31.36
Charmander,93,6,agua,217.04,273.52
Vaporeon,50,53,tierra,107.03,223.8
Nidoking,25,116,electricidad,102.53,250.24
Eevee,8,110,aire,56.21,99.68
Victreebel,65,98,electricidad,260.75,23.12
Wigglytuff,86,142,aire,152.39,117.86
Machamp,27,35,fuego,65.52,133.83
Lickitung,22,77,tierra,133.57,15.46
Lapras,85,177,tierra,143.73,171.36
Mr. Mime,79,27,aire,82.16,246.03
